,radius,z_min,z_max,y_min,y_max,x_min,x_max,intensity,spot_id,xc,yc,zc,target,distance,passes_thresholds
0,9,0,1,1035,1044,1234,1251,0.02754652500152588,0,8.941685e-05,1e-04,5e-05,ACTB,0.5895971004791125,True
1,9,0,1,1035,1044,1122,1139,0.029928026720881462,1,8.135349e-05,1e-04,5e-05,ACTB,0.6179861115884999,True
2,16,0,1,1028,1044,992,1023,0.037341658025979996,2,7.24982e-05,1e-04,5e-05,nan,0.6021211736176364,False
3,9,0,1,1035,1044,959,976,0.037429578602313995,3,6.961843e-05,1e-04,5e-05,nan,0.5176310858406419,False
4,12,0,1,1032,1044,308,331,0.025607125833630562,4,2.2966162e-05,1e-04,5e-05,VIM,0.4744677779034532,True
5,2,0,1,1040,1043,1378,1381,0.019623100757598877,5,9.9280056e-05,9.980825e-05,5e-05,nan,0.6684163828758369,False
6,2,0,1,1040,1043,1375,1378,0.01882115751504898,6,9.906408e-05,9.980825e-05,5e-05,nan,0.6619981013282239,False
7,2,0,1,1040,1043,1342,1345,0.05152632296085358,7,9.6688265e-05,9.980825e-05,5e-05,nan,0.575772213932664,False
8,2,0,1,1040,1043,1338,1341,0.03360545262694359,8,9.640029e-05,9.980825e-05,5e-05,nan,0.6090624773530358,False
9,2,0,1,1040,1043,1259,1262,0.05739935114979744,9,9.071274e-05,9.980825e-05,5e-05,nan,0.5571880495256007,False
10,2,0,1,1040,1043,1168,1171,0.11695192754268646,10,8.4161264e-05,9.980825e-05,5e-05,nan,0.48936937679866854,False
11,2,0,1,1040,1043,1148,1151,0.06233988702297211,11,8.272138e-05,9.980825e-05,5e-05,nan,0.6224473672428539,False
12,2,0,1,1040,1043,1068,1071,0.023388691246509552,12,7.696184e-05,9.980825e-05,5e-05,nan,0.5168521199416425,False
13,2,0,1,1040,1043,941,944,0.027542535215616226,13,6.7818575e-05,9.980825e-05,5e-05,nan,0.6685225106380306,False
14,2,0,1,1040,1043,935,938,0.1436653733253479,14,6.738661e-05,9.980825e-05,5e-05,nan,0.6054235177617795,False
15,2,0,1,1040,1043,922,925,0.039174992591142654,15,6.645068e-05,9.980825e-05,5e-05,nan,0.5098741546428331,False
16,2,0,1,1040,1043,880,883,0.019923197105526924,16,6.342692e-05,9.980825e-05,5e-05,nan,0.615239299704277,False
17,2,0,1,1040,1043,861,864,0.03890372812747955,17,6.2059036e-05,9.980825e-05,5e-05,nan,0.5698726775208858,False
18,2,0,1,1040,1043,769,772,0.12479845434427261,18,5.5435565e-05,9.980825e-05,5e-05,nan,0.526787710960088,False
19,2,0,1,1040,1043,523,526,0.018070071935653687,19,3.772498e-05,9.980825e-05,5e-05,nan,0.61169633633983,False
20,2,0,1,1040,1043,439,442,0.010827123187482357,20,3.1677464e-05,9.980825e-05,5e-05,nan,0.6583487134628287,False
21,2,0,1,1040,1043,406,409,0.0236480925232172,21,2.9301656e-05,9.980825e-05,5e-05,nan,0.6502372285995803,False
22,3,0,1,1038,1043,1315,1320,0.015314565040171146,22,9.4816416e-05,9.971237e-05,5e-05,nan,0.6521206842186317,False
23,2,0,1,1039,1042,1293,1296,0.020182600244879723,23,9.316055e-05,9.971237e-05,5e-05,nan,0.48370915831706895,False
24,2,0,1,1039,1042,1158,1161,0.05582597479224205,24,8.344132e-05,9.971237e-05,5e-05,nan,0.6778884668723826,False
25,3,0,1,1038,1043,1150,1155,0.06265231966972351,25,8.293737e-05,9.971237e-05,5e-05,nan,0.5516665751714758,False
26,3,0,1,1038,1043,1112,1117,0.0167379267513752,26,8.0201586e-05,9.971237e-05,5e-05,nan,0.6155667520474826,False
27,3,0,1,1038,1043,1070,1075,0.02059113420546055,27,7.717783e-05,9.971237e-05,5e-05,nan,0.48542175459262815,False
28,3,0,1,1038,1043,884,889,0.02735210210084915,28,6.3786894e-05,9.971237e-05,5e-05,nan,0.6071627259246412,False
29,3,0,1,1038,1043,707,712,0.012610056437551975,29,5.1043917e-05,9.971237e-05,5e-05,nan,0.6215471458531057,False
30,2,0,1,1039,1042,147,150,0.031653992831707,30,1.0655148e-05,9.971237e-05,5e-05,HER2,0.3656974935975774,True
31,2,0,1,1038,1041,1209,1212,0.02365148440003395,31,8.711303e-05,9.961649e-05,5e-05,nan,0.5950009566655898,False
32,2,0,1,1038,1041,902,905,0.16348685324192047,32,6.50108e-05,9.961649e-05,5e-05,nan,0.5548530529049795,False
33,2,0,1,1038,1041,856,859,0.07492857426404953,33,6.1699066e-05,9.961649e-05,5e-05,ACTB,0.4575376638068671,True
34,2,0,1,1037,1040,1275,1278,0.03052821382880211,34,9.186465e-05,9.9520614e-05,5e-05,nan,0.5322318153537052,False
35,3,0,1,1036,1041,668,673,0.09625878930091858,35,4.8236143e-05,9.9520614e-05,5e-05,nan,0.5824236196719356,False
36,2,0,1,1037,1040,606,609,0.18850825726985931,36,4.3700504e-05,9.9520614e-05,5e-05,GAPDH,0.4566122864951013,True
37,6,0,1,1032,1043,1384,1390,0.0392586886882782,37,1e-04,9.942474e-05,5e-05,nan,0.5557374812479153,False
38,5,0,1,1033,1042,1366,1375,0.04377512261271477,38,9.863211e-05,9.942474e-05,5e-05,nan,0.616661002480283,False
39,2,0,1,1036,1039,910,913,0.07231419533491135,39,6.5586755e-05,9.942474e-05,5e-05,nan,0.5142562179282488,False
40,2,0,1,1036,1039,519,522,0.027298390865325928,40,3.7437007e-05,9.942474e-05,5e-05,ACTB,0.49450552082955046,True
41,2,0,1,1036,1039,505,508,0.02879207953810692,41,3.6429086e-05,9.942474e-05,5e-05,ACTB,0.414292215863845,True
42,2,0,1,1036,1039,472,475,0.019763823598623276,42,3.4053275e-05,9.942474e-05,5e-05,VIM,0.48551550872669846,True
43,3,0,1,1034,1039,1332,1337,0.1586059331893921,43,9.604032e-05,9.9328856e-05,5e-05,nan,0.49492540877864233,False
44,2,0,1,1035,1038,1292,1295,0.023336131125688553,44,9.308855e-05,9.9328856e-05,5e-05,nan,0.532571884462657,False
45,3,0,1,1034,1039,1184,1189,0.15474478900432587,45,8.538517e-05,9.9328856e-05,5e-05,HER2,0.3748512418977601,True
46,2,0,1,1035,1038,1087,1090,0.18448156118392944,46,7.832974e-05,9.9328856e-05,5e-05,TFRC,0.42439046569345695,True
47,2,0,1,1035,1038,1047,1050,0.14748522639274597,47,7.544996e-05,9.9328856e-05,5e-05,GAPDH,0.23636349862937434,True
48,3,0,1,1034,1039,1040,1045,0.14954330027103424,48,7.5018e-05,9.9328856e-05,5e-05,GAPDH,0.44832244652727027,True
49,2,0,1,1035,1038,514,517,0.024202505126595497,49,3.7077032e-05,9.9328856e-05,5e-05,ACTB,0.5174015430081944,True
50,2,0,1,1034,1037,1229,1232,0.015925332903862,50,8.8552915e-05,9.923298e-05,5e-05,nan,0.6452196492306654,False
51,2,0,1,1034,1037,756,759,0.10532454401254654,51,5.449964e-05,9.923298e-05,5e-05,HER2,0.5105195583509958,True
52,2,0,1,1034,1037,265,268,0.011944422498345375,52,1.9150468e-05,9.923298e-05,5e-05,nan,0.6037158395017292,False
53,2,0,1,1033,1036,731,734,0.042194586247205734,53,5.2699783e-05,9.9137105e-05,5e-05,nan,0.5678263912377585,False
54,2,0,1,1033,1036,721,724,0.1600671410560608,54,5.197984e-05,9.9137105e-05,5e-05,CTSL2,0.5647590765919421,True
55,2,0,1,1032,1035,439,442,0.10255757719278336,55,3.1677464e-05,9.904123e-05,5e-05,VIM,0.5191402478858375,True
56,2,0,1,1032,1035,427,430,0.04115527495741844,56,3.0813535e-05,9.904123e-05,5e-05,nan,0.6302496464728963,False
57,3,0,1,1031,1036,390,395,0.16563668847084045,57,2.8221742e-05,9.904123e-05,5e-05,nan,0.5729135403734603,False
58,2,0,1,1032,1035,176,179,0.06533065438270569,58,1.274298e-05,9.904123e-05,5e-05,ACTB,0.3126086867535396,True
59,3,0,1,1030,1035,847,852,0.14103059470653534,59,6.112311e-05,9.894535e-05,5e-05,CTSL2,0.3757635354507537,True
60,2,0,1,1031,1034,739,742,0.06972186267375946,60,5.3275737e-05,9.894535e-05,5e-05,nan,0.5568701340213407,False
61,2,0,1,1031,1034,415,418,0.1122470572590828,61,2.9949604e-05,9.894535e-05,5e-05,VIM,0.5415871459829193,True
62,2,0,1,1031,1034,402,405,0.028846336528658867,62,2.901368e-05,9.894535e-05,5e-05,nan,0.6151304292218018,False
63,2,0,1,1030,1033,1254,1257,0.026421841233968735,63,9.035277e-05,9.884947e-05,5e-05,nan,0.5525572601491324,False
64,2,0,1,1030,1033,1200,1203,0.20277035236358643,64,8.646508e-05,9.884947e-05,5e-05,nan,0.6031882303754597,False
65,2,0,1,1030,1033,992,995,0.043466173112392426,65,7.149028e-05,9.884947e-05,5e-05,nan,0.5231203883373441,False
66,2,0,1,1030,1033,611,614,0.02841399423778057,66,4.4060474e-05,9.884947e-05,5e-05,nan,0.6171206809041444,False
67,2,0,1,1030,1033,283,286,0.15598618984222412,67,2.0446365e-05,9.884947e-05,5e-05,ACTB,0.28275023179242087,True
68,2,0,1,1029,1032,1333,1336,0.08919236809015274,68,9.604032e-05,9.87536e-05,5e-05,nan,0.587072050011928,False
69,2,0,1,1029,1032,1280,1283,0.1917499601840973,69,9.2224625e-05,9.87536e-05,5e-05,GAPDH,0.4930137629999197,True
70,2,0,1,1029,1032,1160,1163,0.14698845148086548,70,8.358531e-05,9.87536e-05,5e-05,CCNB1,0.5223854200107456,True
71,3,0,1,1028,1033,820,825,0.07614068686962128,71,5.9179267e-05,9.87536e-05,5e-05,HER2,0.5838101896294429,True
72,2,0,1,1029,1032,671,674,0.0320931114256382,72,4.838013e-05,9.87536e-05,5e-05,nan,0.44906372141475814,False
73,2,0,1,1029,1032,241,244,0.10132329910993576,73,1.7422606e-05,9.87536e-05,5e-05,ACTB,0.31458138277870806,True
74,2,0,1,1029,1032,191,194,0.027557792142033577,74,1.3822894e-05,9.87536e-05,5e-05,nan,0.550284340702212,False
75,2,0,1,1028,1031,1177,1180,0.1451302319765091,75,8.480922e-05,9.865772e-05,5e-05,HER2,0.49645154623696586,True
76,3,0,1,1027,1032,945,950,0.1437668353319168,76,6.8178546e-05,9.865772e-05,5e-05,CTSL2,0.41077533955271417,True
77,2,0,1,1028,1031,914,917,0.027513712644577026,77,6.587473e-05,9.865772e-05,5e-05,nan,0.5186125040717632,False
78,3,0,1,1027,1032,893,898,0.1561083346605301,78,6.443485e-05,9.865772e-05,5e-05,GUS,0.41777256778090444,True
79,2,0,1,1028,1031,761,764,0.04155540466308594,79,5.485961e-05,9.865772e-05,5e-05,nan,0.4736224607307965,False
80,2,0,1,1028,1031,716,719,0.019446775317192078,80,5.161987e-05,9.865772e-05,5e-05,nan,0.6612973989618369,False
81,2,0,1,1028,1031,594,597,0.05607690289616585,81,4.2836575e-05,9.865772e-05,5e-05,ACTB,0.27348990036443643,True
82,4,0,1,1026,1033,244,251,0.1429518163204193,82,1.7782577e-05,9.865772e-05,5e-05,nan,0.4457665830836808,False
83,2,0,1,1027,1030,1325,1328,0.050064850598573685,83,9.546436e-05,9.856184e-05,5e-05,CTSL2,0.5516842248396929,True
84,2,0,1,1027,1030,1308,1311,0.07753617316484451,84,9.424046e-05,9.856184e-05,5e-05,nan,0.49900086806712707,False
85,2,0,1,1027,1030,1288,1291,0.15597602725028992,85,9.2800576e-05,9.856184e-05,5e-05,nan,0.640473786722115,False
86,2,0,1,1027,1030,1257,1260,0.025986114516854286,86,9.0568756e-05,9.856184e-05,5e-05,nan,0.5807399483479916,False
87,3,0,1,1026,1031,880,885,0.15790890157222748,87,6.349892e-05,9.856184e-05,5e-05,RAC1,0.49842272260781983,True
88,2,0,1,1027,1030,346,349,0.05231809616088867,88,2.4982002e-05,9.856184e-05,5e-05,nan,0.49885654623554365,False
89,2,0,1,1026,1029,1212,1215,0.13626137375831604,89,8.732901e-05,9.8465964e-05,5e-05,ACTB,0.2939579454169058,True
90,3,0,1,1025,1030,1185,1190,0.18352024257183075,90,8.545716e-05,9.8465964e-05,5e-05,ACTB,0.4541821421463421,True
91,2,0,1,1026,1029,629,632,0.07332807779312134,91,4.535637e-05,9.8465964e-05,5e-05,ACTB,0.25623748267151736,True
